index    keith number                                   prime factorization
    1    14                                             2 * 7
    2    19                                             19
    3    28                                             2 * 2 * 7
    4    47                                             47
    5    61                                             61
    6    75                                             3 * 5 * 5
    7    197                                            197
    8    742                                            2 * 7 * 53
    9    1104                                           2 * 2 * 2 * 2 * 3 * 23
   10    1537                                           29 * 53
   11    2208                                           2 * 2 * 2 * 2 * 2 * 3 * 23
   12    2580                                           2 * 2 * 3 * 5 * 43
   13    3684                                           2 * 2 * 3 * 307
   14    4788                                           2 * 2 * 3 * 3 * 7 * 19
   15    7385                                           5 * 7 * 211
   16    7647                                           3 * 2549
   17    7909                                           11 * 719
   18    31331                                          17 * 19 * 97
   19    34285                                          5 * 6857
   20    34348                                          2 * 2 * 31 * 277
   21    55604                                          2 * 2 * 13901
   22    62662                                          2 * 17 * 19 * 97
   23    86935                                          5 * 17387
   24    93993                                          3 * 17 * 19 * 97
   25    120284                                         2 * 2 * 30071
   26    129106                                         2 * 64553
   27    147640                                         2 * 2 * 2 * 5 * 3691
   28    156146                                         2 * 101 * 773
   29    174680                                         2 * 2 * 2 * 5 * 11 * 397
   30    183186                                         2 * 3 * 3 * 10177
   31    298320                                         2 * 2 * 2 * 2 * 3 * 5 * 11 * 113
   32    355419                                         3 * 3 * 17 * 23 * 101
   33    694280                                         2 * 2 * 2 * 5 * 17 * 1021
   34    925993                                         829 * 1117
   35    1084051                                        1084051
   36    7913837                                        149 * 53113
   37    11436171                                       3 * 41 * 109 * 853
   38    33445755                                       3 * 3 * 5 * 7 * 89 * 1193
   39    44121607                                       1831 * 24097
   40    129572008                                      2 * 2 * 2 * 79 * 205019
   41    251133297                                      3 * 23 * 1051 * 3463
   42    24769286411                                    331 * 74831681
   43    96189170155                                    5 * 13 * 5153 * 287179
   44    171570159070                                   2 * 5 * 17157015907
   45    202366307758                                   2 * 137 * 233 * 863 * 3673
   46    239143607789                                   173 * 4517 * 306029
   47    296658839738                                   2 * 97 * 1529169277
   48    1934197506555                                  3 * 5 * 17 * 68489 * 110749
   49    8756963649152                                  2 * 2 * 2 * 2 * 2 * 2 * 2 * 68413778509
   50    43520999798747                                 17 * 53 * 27481 * 1757687
   51    74596893730427                                 74596893730427
   52    97295849958669                                 3 * 19 * 1706944736117
   53    120984833091531                                3 * 14407 * 2799214111
   54    270585509032586                                2 * 11 * 433 * 60107 * 472573
   55    754788753590897                                23 * 32816902330039
   56    3621344088074041                               7 * 374909 * 1379894507
   57    3756915124022254                               2 * 2851 * 13313 * 49491229
   58    4362827422508274                               2 * 3 * 727137903751379
   59    11812665388886672                              2 * 2 * 2 * 2 * 738291586805417
   60    14508137312404344                              2 * 2 * 2 * 3 * 3 * 7 * 28785986730961
   61    16402582054271374                              2 * 13 * 630868540548899
   62    69953250322018194                              2 * 3 * 19 * 613625002824721
   63    73583709853303061                              17 * 23 * 1669 * 112758317159
   64    119115440241433462                             2 * 67 * 431 * 2062462171303
   65    166308721919462318                             2 * 7 * 7 * 19 * 31 * 2881201654819
   66    301273478581322148                             2 * 2 * 3 * 11 * 31 * 266003 * 276782573
   67    1362353777290081176                            2 * 2 * 2 * 3 * 15587191 * 3641755639
   68    3389041747878384662                            2 * 1694520873939192331
   69    5710594497265802190                            2 * 3 * 5 * 19546469 * 9738492917
   70    5776750370944624064                            2 * 2 * 2 * 2 * 2 * 2 * 7 * 307 * 30427 * 36433 * 37889
   71    6195637556095764016                            2 * 2 * 2 * 2 * 59 * 312839 * 20979402751
   72    12763314479461384279                           7 * 2161 * 724729 * 1164219913
   73    27847652577905793413                           11 * 29 * 2789 * 188579 * 165980117
   74    45419266414495601903                           11 * 83 * 49747279753007231
   75    855191324330802397989                          3 * 3 * 3 * 29 * 1092198370792851083
   76    7657230882259548723593                         36653 * 208911436506139981
   77    26842994422637112523337                        157 * 317 * 787 * 685326166805179
   78    36899277593852609997403                        50143690321 * 735870801643
   79    61333853602129819189668                        2 * 2 * 3 * 3 * 7 * 243388307944959599959
   80    229146413136585558461227                       79 * 9309553189 * 311571076417
   81    9838678687915198599200604                      2 * 2 * 3 * 7 * 17 * 19 * 137 * 281 * 9419505024925001
   82    18354972585225358067718266                     2 * 73 * 1659922469 * 75737868881009
   83    19876234926457288511947945                     5 * 13 * 599 * 16987 * 132689 * 226486507229
   84    98938191214220718050301312                     2 * 2 * 2 * 2 * 2 * 2 * 2 * 3 * 3 * 13 * 59 * 1289 * 2437 * 8287 * 4301405023
   85    133118411174059688391045955                    5 * 7 * 11 * 11 * 19 * 107 * 173 * 6961 * 12838952593997
   86    153669354455482560987178342                    2 * 41 * 1693 * 2797 * 395752794319495411
   87    154140275428339949899922650                    2 * 5 * 5 * 961637707 * 3205786842722879
   88    154677881401007799974564336                    2 * 2 * 2 * 2 * 21988671973 * 439652180879027
   89    295768237361291708645227474                    2 * 17 * 19 * 411322563593 * 1113105891083
   90    956633720464114515890318410                    2 * 5 * 7963 * 12013483868694141854707
   91    988242310393860390066911414                    2 * 13 * 17 * 3217 * 695008495868147011751
   92    9493976840390265868522067200                   2 * 2 * 2 * 2 * 2 * 2 * 2 * 2 * 5 * 5 * 1483433881310979041956573
   93    41796205765147426974704791528                  2 * 2 * 2 * 809 * 6458004599064806392877749
   94    70267375510207885242218837404                  2 * 2 * 7 * 17 * 1543 * 34036051919 * 2810875930537
   95    127304146123884420932123248317                 3 * 7 * 47 * 127 * 1015597620434821346258233
   96    344669719564188054170496150677                 7 * 7 * 2106371346091 * 3339428217406703
   97    389939548933846065763772833753                 8329 * 46817090759256341189071057
   98    534139807526361917710268232010                 2 * 5 * 7 * 7630568678948027395860974743
   99    756672276587447504826932994366                 2 * 3 * 7 * 83 * 6091 * 35636237121360998315891
  100    1598187483427964679092074853838                2 * 3 * 7 * 385657 * 392159 * 145310597 * 1731481049
  101    2405620130870553672640058975437                11 * 11 * 3402927167 * 5842369563229682891
  102    41030306579725050560909919549414               2 * 3 * 6838384429954175093484986591569
  103    42983394195992223818343905028410               2 * 5 * 1143551864603 * 3758762110095855547
  104    47824404246899742508216679149392               2 * 2 * 2 * 2 * 3 * 37 * 163 * 3499 * 47214463631897510930491
  105    89980815134051887612993101615858               2 * 3 * 59 * 76760857 * 3311363415327901194161
  106    172451142646837728336412943204299              17 * 2381 * 711839 * 5985162982660968942233
  107    193962639439026709638083447831059              7 * 19 * 44819 * 326663 * 99610320126347771659
  108    303294117104027490007126494842828              2 * 2 * 59 * 223 * 82225789 * 70087258239915955459
  109    312736110821858321305917486145434              2 * 3 * 3 * 17374228378992128961439860341413
